Brands,Months,ARP,vs. Prior Period
4Geez,05/2021,17.594053369273800,-0.03925285618287690
4Geez,06/2021,,-1
4Geez,07/2021,18.1357132929671,
4Geez,08/2021,,-1
530,08/2020,12.71143632585130,
530,09/2020,,-1
5Carats,03/2021,38.277858702839400,
5Carats,04/2021,27.903006481944100,-0.2710405590197180
5Carats,05/2021,28.961017820503500,0.037917467397073200
5Carats,06/2021,26.744167689575300,-0.0765460021007544
5Carats,07/2021,30.527425451981200,0.14146103951780800
5Carats,08/2021,39.50366438304670,0.29403851776445700
5Carats,09/2021,31.89063210309920,-0.1927171162180760
710 Labs,09/2018,36.40034109569570,
710 Labs,10/2018,33.14710484620980,-0.08937378473825850
710 Labs,11/2018,33.652952680532200,0.015260694310086800
710 Labs,12/2018,31.544089719926900,-0.06266502023239040
710 Labs,01/2019,30.91041220724800,-0.02008862890973370
710 Labs,02/2019,35.33621291969340,0.14318154940061300
710 Labs,03/2019,38.14494528853000,0.07948594760904060
710 Labs,04/2019,50.294532042018100,0.31851105465188200
710 Labs,05/2019,44.98322160660130,-0.1056041326913940
710 Labs,06/2019,46.411778922309600,0.031757559033937800
710 Labs,07/2019,51.06719579448850,0.10030679668563800
710 Labs,08/2019,46.184348959930800,-0.09561611438795110
710 Labs,09/2019,55.23107659834910,0.1958829742575180
710 Labs,10/2019,39.600204610807500,-0.2830086420587510
710 Labs,11/2019,38.01214840866130,-0.04010222214136570
710 Labs,12/2019,47.33155117018470,0.24516906177815200
710 Labs,01/2020,41.99664029896960,-0.11271362842162000
710 Labs,02/2020,43.88556084808420,0.044977896700010600
710 Labs,03/2020,41.13897371935680,-0.06258521198430220
710 Labs,04/2020,46.205329932266900,0.12315222658377100
710 Labs,05/2020,40.44955097368520,-0.12456958898506200
710 Labs,06/2020,45.42032899558610,0.12288833626694000
710 Labs,07/2020,51.66491350131170,0.1374843521351940
710 Labs,08/2020,42.61850470180390,-0.17509772467301500
710 Labs,09/2020,48.55674776648930,0.13933485245985500
710 Labs,10/2020,43.931419017777,-0.09525614793963660
710 Labs,11/2020,41.15165022028880,-0.06327518800071970
710 Labs,12/2020,36.70500636424900,-0.10805505568395000
710 Labs,01/2021,34.32615489014230,-0.06481000031711540
710 Labs,02/2021,38.89499217771890,0.13310075952866700
710 Labs,03/2021,42.071915101603200,0.08167948483877550
710 Labs,04/2021,41.513694025844300,-0.013268259227345200
710 Labs,05/2021,38.15920685768270,-0.08080435256070520
710 Labs,06/2021,45.596814496312900,0.19490991168577600
710 Labs,07/2021,40.552615660006300,-0.11062612360156300
